sim_time_s,latency_s,firing_variance,temporal_consistency,lambda_efficiency,mode,red_present,blue_present
1781117105.576,,0.0,0.0,0.0,C,1,0
1781117105.776,,0.0,0.0,0.0,C,1,0
1781117105.976,,0.0,0.0,0.0,C,1,0
1781117106.176,,0.0,0.0,0.0,C,1,0
1781117106.376,,0.0,0.0,0.0,C,1,0
1781117106.576,,0.0,0.0,0.0,C,1,0
1781117106.776,,0.0,0.0,0.0,C,1,0
1781117106.976,,0.0,0.0,0.0,C,1,0
1781117107.176,,0.0,0.0,0.0,C,1,0
1781117107.376,,0.0,0.0,0.0,C,1,0
1781117107.576,,0.0,0.0,1.0,H,1,0
1781117107.776,2.3369,25.409781,0.6223,1.0,H,1,0
1781117107.976,2.3369,49.930332,0.771,1.0,H,1,0
1781117108.176,2.3369,141.824814,0.8571,1.0,C,1,0
1781117108.376,2.3369,209.04071,0.8826,1.0,C,1,0
1781117108.576,2.3369,272.391449,0.9013,1.0,C,1,0
1781117108.776,2.3369,355.871735,0.9257,1.0,C,1,0
1781117108.976,2.3369,374.914825,0.934,1.0,C,1,0
1781117109.176,2.3369,383.1409,0.9405,1.0,C,1,0
1781117109.376,2.3369,380.898102,0.9503,1.0,C,1,0
1781117109.576,2.3369,371.358276,0.9541,1.0,C,1,0
1781117109.776,2.3369,356.798981,0.9573,1.0,C,1,0
1781117109.977,2.3369,326.241669,0.9626,1.0,C,1,0
1781117110.176,2.3369,313.759064,0.9648,1.0,C,1,0
1781117110.376,2.3369,303.24884,0.9667,1.0,C,1,0
1781117110.576,2.3369,286.338654,0.9701,1.0,C,1,0
1781117110.777,2.3369,278.988983,0.9715,1.0,C,1,0
1781117110.976,2.3369,272.445465,0.9728,1.0,C,1,0
1781117111.176,2.3369,261.390198,0.975,1.0,C,1,0
1781117111.376,2.3369,256.490295,0.976,1.0,C,1,0
1781117111.576,2.3369,251.899948,0.977,1.0,C,1,0
1781117111.776,2.3369,243.42543,0.9786,1.0,C,1,0
1781117111.977,2.3369,239.319489,0.9793,1.0,C,1,0
1781117112.176,2.3369,235.156204,0.98,1.0,C,1,0
1781117112.377,2.3369,227.451141,0.9813,1.0,C,1,0
1781117112.577,2.3369,223.69696,0.9818,1.0,C,1,0
1781117112.776,2.3369,219.891998,0.9824,1.0,C,1,0
1781117112.977,2.3369,211.922867,0.9834,1.0,C,1,0
1781117113.177,2.3369,207.785339,0.9838,1.0,C,1,0
