sim_time_s,latency_s,firing_variance,temporal_consistency,lambda_efficiency,mode,red_present,blue_present
1781125467.308,,0.0,0.0,0.0,C,1,0
1781125467.508,,0.0,0.0,0.0,C,1,0
1781125467.708,,0.0,0.0,0.0,C,1,0
1781125467.908,,0.0,0.0,0.0,C,1,0
1781125468.108,,0.0,0.0,0.0,C,1,0
1781125468.308,,0.0,0.0,0.0,C,1,0
1781125468.508,,0.0,0.0,0.0,C,1,0
1781125468.708,,0.0,0.0,0.0,C,1,0
1781125468.908,,0.0,0.0,0.0,C,1,0
1781125469.108,,0.0,0.0,0.0,C,1,0
1781125469.308,,0.0,0.0,1.0,H,1,0
1781125469.509,2.3356,11.162878,0.4196,1.0,H,1,0
1781125469.708,2.3356,30.743771,0.5992,1.0,H,1,0
1781125469.908,2.3356,62.691521,0.7075,1.0,C,1,0
1781125470.108,2.3356,68.496857,0.7606,1.0,C,1,0
1781125470.308,2.3356,86.749687,0.7916,1.0,C,1,0
1781125470.508,2.3356,302.847229,0.8317,1.0,X,1,0
1781125470.709,2.3356,678.102417,0.849,1.0,X,1,0
1781125470.908,2.3356,1388.20874,0.8637,1.0,X,1,0
1781125471.109,2.3356,4389.086914,0.886,1.0,X,1,0
1781125471.309,2.3356,6867.0,0.8946,1.0,X,1,0
1781125471.509,2.3356,9874.578125,0.902,1.0,X,1,0
1781125471.709,2.3356,16339.081055,0.914,1.0,X,1,0
1781125471.909,2.3356,19116.755859,0.919,1.0,X,1,0
1781125472.109,2.3356,21243.316406,0.9235,1.0,X,1,0
1781125472.309,2.3356,23333.84375,0.9311,1.0,X,1,0
1781125472.509,2.3356,23486.621094,0.9344,1.0,X,1,0
1781125472.709,2.3356,23242.574219,0.9373,1.0,X,1,0
1781125472.909,2.3356,22204.650391,0.9424,1.0,X,1,0
1781125473.109,2.3356,21704.115234,0.9447,1.0,X,1,0
1781125473.309,2.3356,21338.289062,0.9468,1.0,X,1,0
1781125473.509,2.3356,21109.4375,0.9506,1.0,X,1,0
1781125473.709,2.3356,21182.771484,0.9523,1.0,X,1,0
1781125473.909,2.3356,21272.373047,0.9538,1.0,X,1,0
1781125474.109,2.3356,21177.59375,0.9567,1.0,X,1,0
1781125474.309,2.3356,20921.646484,0.958,1.0,X,1,0
1781125474.509,2.3356,20547.537109,0.9592,1.0,X,1,0
1781125474.709,2.3356,19602.207031,0.9615,1.0,X,1,0
1781125474.909,2.3356,19100.966797,0.9625,1.0,X,1,0
1781125475.109,2.3356,18614.789062,0.9634,1.0,X,1,0
1781125475.309,2.3356,17747.367188,0.9652,1.0,X,1,0
1781125475.509,2.3356,17388.705078,0.966,1.0,X,1,0
1781125475.709,2.3356,17086.888672,0.9668,1.0,X,1,0
1781125475.909,2.3356,16595.886719,0.9683,1.0,X,1,0
1781125476.109,2.3356,16355.523438,0.969,1.0,X,1,0
1781125476.309,2.3356,16101.379883,0.9697,1.0,X,1,0
1781125476.509,2.3356,15594.888672,0.9709,1.0,X,1,0
1781125476.709,2.3356,15357.526367,0.9715,1.0,X,1,0
