sim_time_s,latency_s,firing_variance,temporal_consistency,lambda_efficiency,mode,red_present,blue_present
1781115584.842,,0.0,0.0,0.0,C,0,1
1781115585.042,,0.0,0.0,0.0,C,0,1
1781115585.242,,0.0,0.0,0.0,C,0,1
1781115585.442,,0.0,0.0,0.0,C,0,1
1781115585.642,,0.0,0.0,0.0,C,0,1
1781115585.842,,0.0,0.0,0.0,C,0,1
1781115586.042,,0.0,0.0,0.0,C,0,1
1781115586.242,,0.0,0.0,0.0,C,0,1
1781115586.443,1.7411,0.001073,0.9946,1.0,H,0,1
1781115586.643,1.7411,0.001757,0.9965,1.0,H,0,1
1781115586.843,1.7411,0.002274,0.9974,1.0,H,0,1
1781115587.043,1.7411,0.002858,0.9982,1.0,H,0,1
1781115587.243,1.7411,0.00311,0.9985,1.0,H,0,1
1781115587.443,1.7411,0.003316,0.9987,1.0,H,0,1
1781115587.643,1.7411,0.003755,0.9989,1.0,H,0,1
1781115587.843,1.7411,0.003885,0.999,1.0,H,0,1
1781115588.043,0.0124,0.003943,0.9991,1.0,H,0,1
1781115588.243,0.0762,0.004042,0.9991,1.0,H,0,1
1781115588.443,0.0762,0.00423,0.9992,1.0,H,0,1
1781115588.643,0.0762,0.004394,0.9992,1.0,H,0,1
1781115588.843,0.0762,0.004615,0.9993,1.0,H,0,1
1781115589.043,0.0762,0.004701,0.9993,1.0,H,0,1
1781115589.243,0.0762,0.004835,0.9993,1.0,H,0,1
1781115589.443,0.0762,0.005141,0.9994,1.0,H,0,1
1781115589.643,0.0762,0.005289,0.9994,1.0,H,0,1
1781115589.843,0.0762,0.005526,0.9994,1.0,H,0,1
1781115590.043,0.0762,0.005731,0.9994,1.0,H,0,1
1781115590.243,0.0762,0.005706,0.9994,1.0,H,0,1
1781115590.443,0.0762,0.005657,0.9995,1.0,H,0,1
1781115590.643,0.0762,0.005606,0.9995,1.0,H,0,1
1781115590.843,0.0762,0.005607,0.9995,1.0,H,0,1
1781115591.043,0.0762,0.005645,0.9995,1.0,H,0,1
1781115591.243,0.0762,0.005909,0.9995,1.0,H,0,1
1781115591.443,0.0762,0.006161,0.9995,1.0,H,0,1
1781115591.643,0.0762,0.006318,0.9995,1.0,H,0,1
1781115591.843,0.0762,0.006668,0.9995,1.0,H,0,1
1781115592.043,0.0762,0.006846,0.9995,1.0,H,0,1
1781115592.243,0.0762,0.006911,0.9995,1.0,H,0,1
1781115592.443,0.0762,0.007133,0.9995,1.0,H,0,1
1781115592.643,0.0762,0.007304,0.9995,1.0,H,0,1
1781115592.844,0.0762,0.007501,0.9995,1.0,H,0,1
1781115593.043,0.0762,0.008233,0.9996,1.0,H,0,1
1781115593.243,0.0762,0.008718,0.9996,1.0,H,0,1
1781115593.443,0.0762,0.009279,0.9996,1.0,H,0,1
1781115593.643,0.0762,0.010593,0.9996,1.0,H,0,1
1781115593.843,0.0762,0.009823,0.9997,1.0,H,0,1
1781115594.043,0.0762,0.009415,0.9997,1.0,H,0,1
1781115594.243,0.0762,0.008872,0.9997,1.0,H,0,1
1781115594.443,0.0762,0.008738,0.9997,1.0,H,0,1
1781115594.643,0.0762,0.008811,0.9997,1.0,H,0,1
1781115594.843,0.0762,0.009337,0.9997,1.0,H,0,1
1781115595.043,0.0762,0.009654,0.9997,1.0,H,0,1
1781115595.243,0.0762,0.010207,0.9997,1.0,H,0,1
