time_s,latency,firing_var,temp_consistency,lambda_efficiency,Tresponse,Tswitch,roll_rms,pitch_rms,active_noise_level,rmse_ct
1781124329.522,,,,,,,,,,
1781124329.722,,,,,,,,,,
1781124329.922,,,,,,,,,,
1781124330.122,-1.0,0.0,0.0,0.0,,,,,,
1781124330.322,-1.0,0.0,0.0,0.0,,,,,,
1781124330.522,-1.0,0.0,0.0,0.0,,,,,,
1781124330.722,-1.0,0.0,0.0,0.0,,,,,,
1781124330.922,-1.0,0.0,0.0,0.0,,,,,,
1781124331.122,-1.0,0.0,0.0,0.0,,,,,,
1781124331.322,-1.0,0.0,0.0,0.0,,,,,,
1781124331.522,-1.0,0.0,0.0,0.0,,,,,,
1781124331.722,-1.0,0.0,0.0,0.0,,,,,,
1781124331.922,-1.0,0.0,0.0,0.0,,,,,,
1781124332.122,-1.0,0.0,0.0,0.0,,,,,,
1781124332.322,-1.0,0.0,0.0,0.0,,,,,,
1781124332.522,-1.0,0.0,0.0,0.0,,,,,,
1781124332.722,-1.0,0.0,0.0,0.0,,,,,,
1781124332.922,-1.0,0.0,0.0,0.0,,,,,,
1781124333.122,-1.0,0.0,0.0,0.0,,,,,,
1781124333.322,-1.0,0.0,0.0,0.0,,,,,,
1781124333.522,-1.0,0.0,0.0,0.0,,,,,,
1781124333.722,-1.0,0.0,0.0,0.0,,,,,,
1781124333.922,-1.0,0.0,0.0,0.0,,,,,,
1781124334.123,-1.0,0.0,0.0,0.0,,,,,,
1781124334.322,-1.0,0.0,0.0,0.0,,,,,,
1781124334.522,-1.0,0.0,0.0,0.0,,,,,,
1781124334.722,-1.0,0.0,0.0,0.0,,,,,,
1781124334.922,-1.0,0.0,0.0,0.0,,,,,,
1781124335.122,-1.0,0.0,0.0,0.0,,,,,,
1781124335.322,-1.0,0.0,0.0,0.0,,,,,,
1781124335.522,-1.0,0.0,0.0,0.0,,,,,,
1781124335.722,-1.0,0.0,0.0,0.0,,,,,,
1781124335.922,-1.0,0.0,0.0,0.0,,,,,,
1781124336.122,-1.0,0.0,0.0,0.0,,,,,,
1781124336.322,-1.0,0.0,0.0,0.0,,,,,,
1781124336.522,-1.0,0.0,0.0,0.0,,,,,,
1781124336.722,-1.0,0.0,0.0,0.0,,,,,,
1781124336.922,-1.0,0.0,0.0,0.0,,,,,,
1781124337.122,-1.0,0.0,0.0,0.0,,,,,,
1781124337.322,-1.0,0.0,0.0,0.0,,,,,,
1781124337.522,-1.0,0.0,0.0,0.0,,,,,,
1781124337.722,-1.0,0.0,0.0,0.0,,,,,,
1781124337.922,-1.0,0.0,0.0,0.0,,,,,,
1781124338.122,-1.0,0.0,0.0,0.0,,,,,,
1781124338.322,-1.0,0.0,0.0,0.0,,,,,,
1781124338.522,-1.0,0.0,0.0,0.0,,,,,,
1781124338.722,-1.0,0.0,0.0,0.0,,,,,,
1781124338.922,-1.0,0.0,0.0,0.0,,,,,,
1781124339.122,-1.0,0.0,0.0,0.0,,,,,,
1781124339.322,-1.0,0.0,0.0,0.0,,,,,,
1781124339.522,-1.0,0.0,0.0,0.0,,,,,,
1781124339.722,-1.0,0.0,0.0,0.0,,,,,,
1781124339.922,-1.0,0.0,0.0,0.0,,,,,,
1781124340.122,-1.0,0.0,0.0,0.0,,,,,,
1781124340.322,-1.0,0.0,0.0,0.0,,,,,,
1781124340.522,-1.0,0.0,0.0,0.0,,,,,,
1781124340.722,-1.0,0.0,0.0,0.0,,,,,,
1781124340.922,-1.0,0.0,0.0,0.0,,,,,,
1781124341.122,-1.0,0.0,0.0,0.0,,,,,,
1781124341.322,-1.0,0.0,0.0,0.0,,,,,,
1781124341.522,-1.0,0.0,0.0,0.0,,,,,,
1781124341.722,-1.0,0.0,0.0,0.0,,,,,,
1781124341.922,-1.0,0.0,0.0,0.0,,,,,,
1781124342.122,-1.0,0.0,0.0,0.0,,,,,,
1781124342.322,-1.0,0.0,0.0,0.0,,,,,,
1781124342.522,-1.0,0.0,0.0,0.0,,,,,,
1781124342.722,-1.0,0.0,0.0,0.0,,,,,,
1781124342.922,-1.0,0.0,0.0,0.0,,,,,,
1781124343.122,-1.0,0.0,0.0,0.0,,,,,,
