sim_time_s,latency_s,firing_variance,temporal_consistency,lambda_efficiency,mode,red_present,blue_present
1781124512.931,,0.0,0.0,0.0,C,0,0
1781124513.131,,0.0,0.0,0.0,C,0,0
1781124513.331,,0.0,0.0,0.0,C,0,0
1781124513.531,,0.0,0.0,0.0,C,0,0
1781124513.731,,0.0,0.0,0.0,C,0,0
1781124513.931,,0.0,0.0,0.0,C,0,0
1781124514.131,,0.0,0.0,0.0,C,0,0
1781124514.331,,0.0,0.0,0.0,C,0,0
1781124514.531,,0.0,0.0,0.0,C,0,0
1781124514.731,,0.0,0.0,0.0,C,0,0
1781124514.931,,0.0,0.0,0.0,C,0,0
1781124515.131,,0.0,0.0,0.0,C,0,0
1781124515.331,,0.0,0.0,0.0,C,0,0
1781124515.531,,0.0,0.0,0.0,C,0,0
1781124515.731,,0.0,0.0,1.0,H,0,0
1781124515.931,,0.001484,0.996,1.0,H,0,0
1781124516.131,,3.305236,0.7132,1.0,H,0,0
1781124516.331,,9.507938,0.6702,1.0,H,0,0
1781124516.531,,19.482544,0.7242,1.0,X,0,0
1781124516.731,,24.601078,0.7452,1.0,X,0,0
1781124516.931,,34.755482,0.7714,1.0,X,0,0
1781124517.131,,77.755447,0.8135,1.0,X,0,0
1781124517.331,0.0677,103.9487,0.8303,1.0,X,0,1
1781124517.531,0.0677,129.482864,0.8443,1.0,X,0,1
1781124517.731,0.0677,186.668228,0.8662,1.0,X,0,0
1781124517.931,0.0828,218.168243,0.8751,1.0,X,0,0
1781124518.131,0.0828,248.561508,0.8829,1.0,X,0,1
1781124518.331,0.0684,310.913086,0.8958,1.0,X,0,1
1781124518.531,0.0684,343.704376,0.9012,1.0,X,0,0
1781124518.731,0.0684,375.482605,0.9062,1.0,X,0,1
1781124518.931,0.1226,447.045593,0.9146,1.0,X,0,0
1781124519.131,0.0895,484.19696,0.9183,1.0,X,0,1
1781124519.331,0.0895,518.6297,0.9217,1.0,X,0,0
1781124519.532,0.0895,577.524963,0.9277,1.0,X,0,0
1781124519.731,0.0314,598.686584,0.9304,1.0,X,0,0
1781124519.931,0.0501,617.196716,0.9329,1.0,X,0,1
1781124520.132,0.0888,650.999756,0.9373,1.0,X,0,0
1781124520.331,0.1044,662.291748,0.9393,1.0,X,0,0
